13.4455 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
14.0143 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000002D225C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000002D225BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000002D225A00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000000002D5DCA30>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0144 	EXP 	window1: mouseVisible = True
14.0144 	EXP 	window1: backgroundImage = ''
14.0144 	EXP 	window1: backgroundFit = 'none'
14.0166 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.0166 	EXP 	window1: recordFrameIntervals = False
14.0974 	EXP 	window1: recordFrameIntervals = True
14.1891 	EXP 	Screen (0) actual frame rate measured at 119.96Hz
14.1892 	EXP 	window1: recordFrameIntervals = False
14.1892 	EXP 	window1: mouseVisible = False
16.2949 	EXP 	eb_music: status = STARTED
16.3473 	EXP 	window1: mouseVisible = True
16.4291 	EXP 	Created welcome_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='welcome_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
16.4293 	EXP 	window1: mouseVisible = True
16.5471 	EXP 	Created consent_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.015, italic=False, languageStyle='LTR', name='consent_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.25)
16.5474 	EXP 	window1: mouseVisible = True
16.5476 	EXP 	window1: mouseVisible = True
16.5483 	EXP 	window1: mouseVisible = True
16.5490 	EXP 	window1: mouseVisible = True
16.5721 	EXP 	window1: mouseVisible = True
16.5722 	EXP 	window1: mouseVisible = True
16.5729 	EXP 	window1: mouseVisible = True
16.5736 	EXP 	window1: mouseVisible = True
16.5985 	EXP 	window1: mouseVisible = True
16.5989 	EXP 	window1: mouseVisible = True
16.5990 	EXP 	window1: mouseVisible = True
16.5998 	EXP 	window1: mouseVisible = True
16.6004 	EXP 	window1: mouseVisible = True
16.6271 	EXP 	window1: mouseVisible = True
16.6273 	EXP 	window1: mouseVisible = True
16.6280 	EXP 	window1: mouseVisible = True
